Name - English,Name - Ukrainian,Country,Lat,Long
Dorohusk-Jagodzin,Дорогуськ-Ягодзін,Poland,51.1852213611046,23.80777061
Dolhobyczów-Uhrynów,Долгобичів-Угринів,Poland,50.5785250002374,24.0836589998308
Zosin-Ustyluh,Зосін-Устилуг,Poland,50.8592650004607,24.1346850003948
Hrebenne-Rawa Ruska,Гребенне-Рава Руська,Poland,50.2745417627704,23.5885080374323
Korczowa-Krakowiec,Корчова-Краковець,Poland,49.9549865421823,23.1138868769913
Medyka-Szeginie,Медика-Сегінє,Poland,49.7997107051379,22.9473589152849
Budomierz-Hruszew,Будомир-Грушів,Poland,50.0969149998345,23.2801600001264
Krościenko-Smolnica,Крощенко-Смольниця,Poland,49.4815550002911,22.7013070001637
Mamalyha-Кryva,Мамалига-Крива,Moldova,48.265739253562,26.6233986220189
Rossoshany-Brichen,Россошани-Брічень,Moldova,48.3785652868895,27.0459503324662
Sokyriany-Oknytsia,Сокиряни-Окниця,Moldova,48.4393941383826,27.4628582013793
Mohyliv-Podilskyi-Otach,Могилів-Подільський-Отач,Moldova,48.4448585627389,27.7913514087357
Kuchurhan-Pervomaisk,Кучурган-Первомайськ,Moldova,46.7372122988371,29.9744340074737
Vynohradivka-Vulcanesti,Виноградівка-Вулкенєшть,Moldova,45.6975698575698,28.5011048032693
Maiaky-Udobne-Palanka,Маяки-Удобне-Паланка,Moldova,46.3845441486797,30.0874046179872
Basarabiaska,Басараб'яска,Moldova,46.321406048852,28.9966357057719
Diakove-Halmeu,Дякове-Халмеу,Romania ,48.0001942688208,23.002530228314
Solotvyno-Sihetu Marmatsiiei,Солотвино-Сігету Мармацієй,Romania ,47.940601987896,23.8781014459885
Porubne-Siret,Порубне-Сірет,Romania ,47.9889804990189,26.0600757026769
Isaceea - Orlivka,Орлівка – ісакча,Romania,45.29415433,28.45765853
Uzhhorod-Vyshnie-Niemetske,Ужгород-Вишнє Нємецьке,Slovakia,48.6555219632231,22.2659826188978
Malyi Bereznyi-Ubl'a,Малий Березний-Убля,Slovakia,48.8852048505616,22.4206249175739
Dzvinkove - Lonia,Дзвінкове,Hungary ,48.3184269911071,22.3182114184201
Chop (Tysa) - Zakhon,Чоп-Захонь,Hungary ,48.4185936858801,22.1700658067502
Vylok - Tisabech,Вилок-Тісабеч,Hungary ,48.0939109785249,22.8351653019022
Luzhanka - Beregshuhan,Лужанка-Берегшурань,Hungary ,48.1667515646224,22.5740486123416
Barabási - Kosyno,Косино,Hungary ,48.2461552746629,22.4457735462061
